,season,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,date
0,Winter,0,0,Saturday,0,Best,0.24,0.2879,0.81,0.0,3,13,16,2011-01-01
1,Winter,1,0,Saturday,0,Best,0.22,0.2727,0.8,0.0,8,32,40,2011-01-01
2,Winter,2,0,Saturday,0,Best,0.22,0.2727,0.8,0.0,5,27,32,2011-01-01
3,Winter,3,0,Saturday,0,Best,0.24,0.2879,0.75,0.0,3,10,13,2011-01-01
4,Winter,4,0,Saturday,0,Best,0.24,0.2879,0.75,0.0,0,1,1,2011-01-01
5,Winter,5,0,Saturday,0,Okay,0.24,0.2576,0.75,0.0896,0,1,1,2011-01-01
6,Winter,6,0,Saturday,0,Best,0.22,0.2727,0.8,0.0,2,0,2,2011-01-01
7,Winter,7,0,Saturday,0,Best,0.2,0.2576,0.86,0.0,1,2,3,2011-01-01
8,Winter,8,0,Saturday,0,Best,0.24,0.2879,0.75,0.0,1,7,8,2011-01-01
9,Winter,9,0,Saturday,0,Best,0.32,0.3485,0.76,0.0,8,6,14,2011-01-01
10,Winter,10,0,Saturday,0,Best,0.38,0.3939,0.76,0.2537,12,24,36,2011-01-01
11,Winter,11,0,Saturday,0,Best,0.36,0.3333,0.81,0.2836,26,30,56,2011-01-01
12,Winter,12,0,Saturday,0,Best,0.42,0.4242,0.77,0.2836,29,55,84,2011-01-01
13,Winter,13,0,Saturday,0,Okay,0.46,0.4545,0.72,0.2985,47,47,94,2011-01-01
14,Winter,14,0,Saturday,0,Okay,0.46,0.4545,0.72,0.2836,35,71,106,2011-01-01
15,Winter,15,0,Saturday,0,Okay,0.44,0.4394,0.77,0.2985,40,70,110,2011-01-01
16,Winter,16,0,Saturday,0,Okay,0.42,0.4242,0.82,0.2985,41,52,93,2011-01-01
17,Winter,17,0,Saturday,0,Okay,0.44,0.4394,0.82,0.2836,15,52,67,2011-01-01
18,Winter,18,0,Saturday,0,Bad,0.42,0.4242,0.88,0.2537,9,26,35,2011-01-01
19,Winter,19,0,Saturday,0,Bad,0.42,0.4242,0.88,0.2537,6,31,37,2011-01-01
20,Winter,20,0,Saturday,0,Okay,0.4,0.4091,0.87,0.2537,11,25,36,2011-01-01
21,Winter,21,0,Saturday,0,Okay,0.4,0.4091,0.87,0.194,3,31,34,2011-01-01
22,Winter,22,0,Saturday,0,Okay,0.4,0.4091,0.94,0.2239,11,17,28,2011-01-01
23,Winter,23,0,Saturday,0,Okay,0.46,0.4545,0.88,0.2985,15,24,39,2011-01-01
24,Winter,0,0,Sunday,0,Okay,0.46,0.4545,0.88,0.2985,4,13,17,2011-01-02
25,Winter,1,0,Sunday,0,Okay,0.44,0.4394,0.94,0.2537,1,16,17,2011-01-02
26,Winter,2,0,Sunday,0,Okay,0.42,0.4242,1.0,0.2836,1,8,9,2011-01-02
27,Winter,3,0,Sunday,0,Okay,0.46,0.4545,0.94,0.194,2,4,6,2011-01-02
28,Winter,4,0,Sunday,0,Okay,0.46,0.4545,0.94,0.194,2,1,3,2011-01-02
29,Winter,6,0,Sunday,0,Bad,0.42,0.4242,0.77,0.2985,0,2,2,2011-01-02
30,Winter,7,0,Sunday,0,Okay,0.4,0.4091,0.76,0.194,0,1,1,2011-01-02
31,Winter,8,0,Sunday,0,Bad,0.4,0.4091,0.71,0.2239,0,8,8,2011-01-02
32,Winter,9,0,Sunday,0,Okay,0.38,0.3939,0.76,0.2239,1,19,20,2011-01-02
33,Winter,10,0,Sunday,0,Okay,0.36,0.3485,0.81,0.2239,7,46,53,2011-01-02
34,Winter,11,0,Sunday,0,Okay,0.36,0.3333,0.71,0.2537,16,54,70,2011-01-02
35,Winter,12,0,Sunday,0,Okay,0.36,0.3333,0.66,0.2985,20,73,93,2011-01-02
36,Winter,13,0,Sunday,0,Okay,0.36,0.3485,0.66,0.1343,11,64,75,2011-01-02
37,Winter,14,0,Sunday,0,Bad,0.36,0.3485,0.76,0.194,4,55,59,2011-01-02
38,Winter,15,0,Sunday,0,Bad,0.34,0.3333,0.81,0.1642,19,55,74,2011-01-02
39,Winter,16,0,Sunday,0,Bad,0.34,0.3333,0.71,0.1642,9,67,76,2011-01-02
40,Winter,17,0,Sunday,0,Best,0.34,0.3333,0.57,0.194,7,58,65,2011-01-02
41,Winter,18,0,Sunday,0,Okay,0.36,0.3333,0.46,0.3284,10,43,53,2011-01-02
42,Winter,19,0,Sunday,0,Best,0.32,0.2879,0.42,0.4478,1,29,30,2011-01-02
43,Winter,20,0,Sunday,0,Best,0.3,0.2727,0.39,0.3582,5,17,22,2011-01-02
44,Winter,21,0,Sunday,0,Best,0.26,0.2273,0.44,0.3284,11,20,31,2011-01-02
45,Winter,22,0,Sunday,0,Best,0.24,0.2121,0.44,0.2985,0,9,9,2011-01-02
46,Winter,23,0,Sunday,0,Best,0.22,0.2273,0.47,0.1642,0,8,8,2011-01-02
47,Winter,0,0,Monday,1,Best,0.22,0.197,0.44,0.3582,0,5,5,2011-01-03
48,Winter,1,0,Monday,1,Best,0.2,0.1667,0.44,0.4179,0,2,2,2011-01-03
49,Winter,4,0,Monday,1,Best,0.16,0.1364,0.47,0.3881,0,1,1,2011-01-03
50,Winter,5,0,Monday,1,Best,0.16,0.1364,0.47,0.2836,0,3,3,2011-01-03
51,Winter,6,0,Monday,1,Best,0.14,0.1061,0.5,0.3881,0,30,30,2011-01-03
